2025-11-12 11:40:57,973 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31264
2025-11-12 11:41:03,612 | INFO | werkzeug | Thread-2610 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:03,690 | INFO | werkzeug | Thread-2608 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:03] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:04,057 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31648
2025-11-12 11:41:04,080 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15201 from node 10603: 1 samples, accumulated: 0
2025-11-12 11:41:04,082 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:04,348 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31680
2025-11-12 11:41:04,372 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:04,648 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31712
2025-11-12 11:41:04,880 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:05,228 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31744
2025-11-12 11:41:05,250 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15301 from node 10603: 1 samples, accumulated: 4
2025-11-12 11:41:05,372 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:05,375 | INFO | werkzeug | Thread-2612 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:05,408 | INFO | werkzeug | Thread-2615 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:05,431 | INFO | werkzeug | Thread-2613 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:05,476 | INFO | werkzeug | Thread-2616 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:05,591 | INFO | werkzeug | Thread-2611 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:05,674 | INFO | werkzeug | Thread-2614 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:05] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:05,982 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31776
2025-11-12 11:41:06,008 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:06,389 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31808
2025-11-12 11:41:06,414 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:06,689 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31840
2025-11-12 11:41:06,710 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15401 from node 10603: 1 samples, accumulated: 8
2025-11-12 11:41:06,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:07,147 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31872
2025-11-12 11:41:07,382 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:07,385 | INFO | werkzeug | Thread-2618 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:07,431 | INFO | app.ui.dash_app | Thread-2620 (process_request_thread) | [CONTROL-RED] Actualizando lista de nodos (intervalo #123)
2025-11-12 11:41:07,471 | INFO | werkzeug | Thread-2619 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:07,471 | INFO | app.ui.dash_app | Thread-2620 (process_request_thread) | [CONTROL-RED] Sensores disponibles: ['10603', '10598', '14031']
2025-11-12 11:41:07,542 | INFO | werkzeug | Thread-2617 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:07,555 | INFO | werkzeug | Thread-2622 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:07,558 | INFO | app.ui.dash_app | Thread-2620 (process_request_thread) | [CONTROL-RED] Total de tarjetas de nodos creadas: 3
2025-11-12 11:41:07,668 | INFO | werkzeug | Thread-2621 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:07,687 | INFO | werkzeug | Thread-2623 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:07,705 | INFO | app.ui.dash_app | Thread-2620 (process_request_thread) | [CONTROL-RED] Total de paneles de control creados: 3
2025-11-12 11:41:07,706 | INFO | app.ui.dash_app | Thread-2620 (process_request_thread) | [CONTROL-RED] Retornando 3 nodos detectados
2025-11-12 11:41:07,708 | INFO | werkzeug | Thread-2620 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:07] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:08,091 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=31904
2025-11-12 11:41:08,124 | INFO | app.acquisition.real_mscl_client | Stream-10603 | [FREQ CHECK] Sensor 10603 - Configured: 64.0 Hz, Measured: 62.44 Hz
2025-11-12 11:41:08,127 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:08,408 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31936
2025-11-12 11:41:08,419 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15501 from node 10603: 1 samples, accumulated: 12
2025-11-12 11:41:08,430 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Stream loop iteration #1000 - Still receiving data...
2025-11-12 11:41:08,433 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:08,707 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=31968
2025-11-12 11:41:08,880 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:09,233 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32000
2025-11-12 11:41:09,372 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:09,377 | INFO | werkzeug | Thread-2625 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:09,430 | INFO | werkzeug | Thread-2626 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:09,467 | INFO | werkzeug | Thread-2628 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:09,542 | INFO | werkzeug | Thread-2624 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:09,589 | INFO | werkzeug | Thread-2629 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:09,672 | INFO | werkzeug | Thread-2627 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:09] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:10,050 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32032
2025-11-12 11:41:10,074 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15601 from node 10603: 1 samples, accumulated: 16
2025-11-12 11:41:10,076 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:10,411 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=32064
2025-11-12 11:41:10,435 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:10,711 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32096
2025-11-12 11:41:10,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:11,148 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32128
2025-11-12 11:41:11,377 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15701 from node 10603: 1 samples, accumulated: 20
2025-11-12 11:41:11,384 | INFO | werkzeug | Thread-2631 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:11,401 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:11,438 | INFO | werkzeug | Thread-2632 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:11,548 | INFO | werkzeug | Thread-2630 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:11,563 | INFO | werkzeug | Thread-2634 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:11,611 | INFO | app.ui.dash_app | Thread-2636 (process_request_thread) | [CONTROL-RED] Actualizando lista de nodos (intervalo #124)
2025-11-12 11:41:11,677 | INFO | werkzeug | Thread-2633 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:11,699 | INFO | werkzeug | Thread-2635 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:11,718 | INFO | app.ui.dash_app | Thread-2636 (process_request_thread) | [CONTROL-RED] Sensores disponibles: ['10603', '10598', '14031']
2025-11-12 11:41:11,723 | INFO | app.ui.dash_app | Thread-2636 (process_request_thread) | [CONTROL-RED] Total de tarjetas de nodos creadas: 3
2025-11-12 11:41:11,724 | INFO | app.ui.dash_app | Thread-2636 (process_request_thread) | [CONTROL-RED] Total de paneles de control creados: 3
2025-11-12 11:41:11,727 | INFO | app.ui.dash_app | Thread-2636 (process_request_thread) | [CONTROL-RED] Retornando 3 nodos detectados
2025-11-12 11:41:11,729 | INFO | werkzeug | Thread-2636 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:11] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:12,101 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32160
2025-11-12 11:41:12,124 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:12,411 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32192
2025-11-12 11:41:12,436 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:12,711 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=32224
2025-11-12 11:41:12,870 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15801 from node 10603: 1 samples, accumulated: 24
2025-11-12 11:41:12,881 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:13,233 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32256
2025-11-12 11:41:13,373 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:13,378 | INFO | werkzeug | Thread-2638 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:13,426 | INFO | werkzeug | Thread-2639 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:13,483 | INFO | werkzeug | Thread-2641 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:13,533 | INFO | werkzeug | Thread-2637 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:13,625 | INFO | werkzeug | Thread-2642 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:13,676 | INFO | werkzeug | Thread-2640 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:13] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:13,985 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32288
2025-11-12 11:41:14,009 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:14,387 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32320
2025-11-12 11:41:14,411 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15901 from node 10603: 1 samples, accumulated: 28
2025-11-12 11:41:14,414 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:14,729 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32352
2025-11-12 11:41:14,761 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Stream loop iteration #1020 - Still receiving data...
2025-11-12 11:41:14,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:15,248 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=32384
2025-11-12 11:41:15,289 | INFO | werkzeug | Thread-2644 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:15,324 | INFO | werkzeug | Thread-2645 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,467 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:15,468 | INFO | werkzeug | Thread-2647 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:15,503 | INFO | werkzeug | Thread-2643 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,631 | INFO | werkzeug | Thread-2646 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,640 | INFO | werkzeug | Thread-2648 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,965 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32416
2025-11-12 11:41:15,992 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:16,275 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32448
2025-11-12 11:41:16,299 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #16001 from node 10603: 1 samples, accumulated: 0
2025-11-12 11:41:16,372 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:16,650 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32480
2025-11-12 11:41:16,881 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:17,242 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32512
2025-11-12 11:41:17,274 | INFO | werkzeug | Thread-2650 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:17] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:17,423 | INFO | werkzeug | Thread-2651 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:17] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:17,425 | INFO | app.ui.dash_app | Thread-2652 (process_request_thread) | [CONTROL-RED] Actualizando lista de nodos (intervalo #125)
2025-11-12 11:41:17,426 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:17,426 | INFO | app.ui.dash_app | Thread-2652 (process_request_thread) | [CONTROL-RED] Sensores disponibles: ['10603', '10598', '14031']
2025-11-12 11:41:17,513 | INFO | app.ui.dash_app | Thread-2652 (process_request_thread) | [CONTROL-RED] Total de tarjetas de nodos creadas: 3
2025-11-12 11:41:17,514 | INFO | werkzeug | Thread-2654 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:17] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
